"","source","target","gene_A","gene_B","MeanLR","type_gene_A","type_gene_B"
"232","Myeloid","Megakaryocyte","TFF3","CXCR4",0.327267026420361,"Ligand","Receptor"
"233","Myeloid","Megakaryocyte","CLEC11A","ITGB1",0.547090339688698,"Ligand","Receptor"
"234","Myeloid","Megakaryocyte","GNAI2","F2R",0.289068415261261,"Ligand","Receptor"
"235","Myeloid","Megakaryocyte","GNAI2","CAV1",0.318093288637433,"Ligand","Receptor"
"236","Myeloid","Megakaryocyte","SLPI","PLSCR1",0.905803970541697,"Ligand","Receptor"
"237","Myeloid","Megakaryocyte","CALM1","MYLK",0.504730056088353,"Ligand","Receptor"
"238","Myeloid","Megakaryocyte","CALM3","MYLK",0.455139645134374,"Ligand","Receptor"
"239","Myeloid","Megakaryocyte","S100A8","CD69",3.00365763111131,"Ligand","Receptor"
"240","Myeloid","Megakaryocyte","GNAI2","S1PR4",0.295987491791492,"Ligand","Receptor"
"241","Myeloid","Megakaryocyte","CALM1","GP6",0.402902958665517,"Ligand","Receptor"
"242","Myeloid","Megakaryocyte","RETN","CAP1",1.61014506884873,"Ligand","Receptor"
"243","Myeloid","Megakaryocyte","LCN2","FCGR2A",1.0867729367919,"Ligand","Receptor"
"244","Myeloid","Fibroblast","S100A8","CD36",2.94337139129369,"Ligand","Receptor"
"245","Myeloid","Fibroblast","S100A9","CD36",2.68985605797885,"Ligand","Receptor"
"246","Myeloid","Fibroblast","S100A12","CD36",0.456169230678649,"Ligand","Receptor"
"247","Myeloid","Fibroblast","CLEC11A","ITGB1",0.340749753418021,"Ligand","Receptor"
"248","Myeloid","Fibroblast","SLPI","PLSCR1",0.98106375986371,"Ligand","Receptor"
"249","Myeloid","Fibroblast","LTF","TFRC",0.963061237817673,"Ligand","Receptor"
"250","Myeloid","Myeloid","S100A8","ITGB2",2.9946582084015,"Ligand","Receptor"
"251","Myeloid","Myeloid","S100A9","ITGB2",2.74114287508666,"Ligand","Receptor"
